Full Name,Abbreviation,Measurement Type,Definition (if required)
Reciprocal kelvin,K⁻¹,Thermal expansion,
Inch,in,Length,
Foot,ft,Length,
Mile,mi,Length,
Ton,tn,Mass,
Pound,lb,Mass,
Ounce,oz.,Volume,
Fluid ounce,fl oz.,Volume,
Gallon,gl,Volume,
Barrel,bbl,Volume,
Square foot,sq. ft.,Area,
Acre,ac,Area,
Day,d,Time,
PDF,PDF. m2. yr,Land Use,Potentially Disappeared Fraction of species over a certain area over a certain time.
Disability-Adjusted Life Year,DALY,Health,One DALY represents the loss of the equivalent of one year of full health.
Freshwater ecotoxicity potential,CTUe,Toxicity,"The characterization factor for aquatic ecotoxicity impacts (ecotoxicity potential) is expressed in comparative toxic units (CTUe), an estimate of the potentially affected fraction of species (PAF) integrated over time and volume, per unit mass of a chemical emitted."
Human Toxicity Potential,CTUh,Toxicity,"The characterization factor for human toxicity impacts (human toxicity potential) is expressed in comparative toxic units (CTUh), the estimated increase in morbidity in the total human population, per unit mass of a chemical emitted, assuming equal weighting between cancer and non-cancer due to a lack of more precise insights into this issue."
kilo Becquerel,kBq,Radiation,A unit of radioactivity equal to one thousand becquerels.
Metric Million British Thermal Unit,MMBtu,Energy,It is the common unit used to measure heating content and the value of a fuel.
Gigatonnes of Carbon,GtC,Embodied CO2 (or other global warming gases),"Earth's carbon pools - the oceans, atmosphere, land, and living things - and is typically measured in units of gigatonnes of carbon per year (GtC/yr)"
Land Use Occupation,m2a,Land Use,Land use occupation is measured as area time (m2a).
Grams of Methane,g CH4,Embodied CO2 (or other global warming gases),
Tonnes of CO2 per capita or per head,ton CO2/cap,Embodied CO2 (or other global warming gases),
Millions of tonnes of CO2 equivalent,MTCO2e,Embodied CO2 (or other global warming gases),
Kilo tonnes of CH4,ktCH4,Embodied CO2 (or other global warming gases),
Hectare,ha,Area,
Meter year,m/yr,Area/Time,
Square meter year,m2/yr,Area/Time,
Metric tonne kilometer,Mt/km,Mass/Distance,
Guest night,Guest night,Occupancy/Time,Used in building operation studies
Person kilometer,person/km,Occupancy/Distance,
